ETF,model,strategy,mean_gross_return,mean_net_return,gross_sharpe,net_sharpe,avg_turnover,cum_gross_return,cum_net_return,days
TLT,etf_har,TLT_etf_har,-0.00011613713083558628,-0.002159263651924174,-0.13070969464414034,-2.4292986863359385,2.043126521088588,-0.61308791368106,-11.398752818507715,5279
TLT,har_only,TLT_har_only,-0.00017705806279917573,-0.0023091647074821625,-0.19795171750656587,-2.5807141195761463,2.1321066446829873,-0.9346895135168487,-12.190080490798337,5279
TLT,sync_etf_har,TLT_sync_etf_har,-9.013697953606594e-05,-0.0021060517989944273,-0.10113162020915942,-2.362224617730489,2.0159148194583616,-0.4758331149708921,-11.117847446891583,5279
XLE,etf_har,XLE_etf_har,0.0003011919491468669,-0.0014079546803839195,0.3502601539076938,-1.6375360616860726,1.7091466295307864,1.5899922995463105,-7.432592757746711,5279
XLE,har_only,XLE_har_only,1.2302243081675807e-05,-0.0016421038769620397,0.013354094792201373,-1.7830584751450962,1.6544061200437155,0.06494354122816659,-8.668666366482608,5279
XLE,matched_sync_etf_har,XLE_matched_sync_etf_har,0.000305487597359941,-0.0013750578346603105,0.35538411396864883,-1.599736632536192,1.6805454320202515,1.6126690264631285,-7.258930309171779,5279
XLE,sync_etf_har,XLE_sync_etf_har,0.0003098068073512189,-0.0013971674843584977,0.3588664168063683,-1.6186928608542694,1.7069742917097166,1.6354701360070845,-7.3756471499285094,5279
XLF,etf_har,XLF_etf_har,0.00024281637726703987,-0.001331060211392544,0.2624824955647032,-1.4399635502180312,1.5738765886595838,1.2818276555927035,-7.02666685594124,5279
XLF,har_only,XLF_har_only,1.2302243081675807e-05,-0.0016421038769620397,0.013354094792201373,-1.7830584751450962,1.6544061200437155,0.06494354122816659,-8.668666366482608,5279
XLF,matched_sync_etf_har,XLF_matched_sync_etf_har,0.00025170504202949774,-0.0013055548535256779,0.2699847489358251,-1.4012245816048219,1.5572598955551757,1.3287509168737186,-6.892024071762053,5279
XLF,sync_etf_har,XLF_sync_etf_har,0.00023915129177979298,-0.0013237909629735852,0.2569180130668835,-1.4235052268653678,1.562942254753378,1.2624796693055271,-6.988292493537556,5279
XLK,etf_har,XLK_etf_har,2.2744766896805674e-05,-0.0013241637425464557,0.023062030640197264,-1.3423981481659877,1.3469085094432616,0.12006962444823716,-6.99026039690274,5279
XLK,har_only,XLK_har_only,1.2302243081675807e-05,-0.0016421038769620397,0.013354094792201373,-1.7830584751450962,1.6544061200437155,0.06494354122816659,-8.668666366482608,5279
XLK,matched_sync_etf_har,XLK_matched_sync_etf_har,3.122605794995602e-05,-0.0013043844923046734,0.031670268775196644,-1.3227858803925914,1.3356105502546294,0.16484235991781782,-6.885845734876371,5279
XLK,sync_etf_har,XLK_sync_etf_har,2.2660894888530107e-05,-0.0013358307345420033,0.02291438355763159,-1.350510842793388,1.3584916294305334,0.11962686411655044,-7.051850447647235,5279
XLV,etf_har,XLV_etf_har,0.00011640645727656709,-0.0014400425193860917,0.1277612795826433,-1.5809869454746974,1.556448976662659,0.6145096879629977,-7.601984459839178,5279
XLV,har_only,XLV_har_only,1.2302243081675807e-05,-0.0016421038769620397,0.013354094792201373,-1.7830584751450962,1.6544061200437155,0.06494354122816659,-8.668666366482608,5279
XLV,matched_sync_etf_har,XLV_matched_sync_etf_har,0.00011255036809525667,-0.0014260409031209738,0.12349312641780424,-1.5651585455188635,1.5385912712162302,0.5941533931748599,-7.528069927575621,5279
XLV,sync_etf_har,XLV_sync_etf_har,0.00011917636845345148,-0.0014034121527927677,0.13112851250918767,-1.5446211000567218,1.5225885212462191,0.6291320490657704,-7.408612754593021,5279
XLY,etf_har,XLY_etf_har,0.00019241619887859558,-0.0014246844594609542,0.19738099338321605,-1.4611152472085243,1.6171006583395497,1.015765113880106,-7.520909261494377,5279
XLY,har_only,XLY_har_only,1.2302243081675807e-05,-0.0016421038769620397,0.013354094792201373,-1.7830584751450962,1.6544061200437155,0.06494354122816659,-8.668666366482608,5279
XLY,matched_sync_etf_har,XLY_matched_sync_etf_har,0.00019887003015437333,-0.0014107513236498964,0.20353703020126818,-1.4434791032176901,1.6096213538042696,1.0498348891849367,-7.447356237547803,5279
XLY,sync_etf_har,XLY_sync_etf_har,0.00019579043399713645,-0.0014144443985303452,0.20062747968961597,-1.4490534803283357,1.6102348325274816,1.0335777010708833,-7.466851979841692,5279
