path,yyyymmdd,status,rows
C:\Users\wyao2\Dropbox\2000\20000609.csv.gz,20000609,ok,3861
C:\Users\wyao2\Dropbox\2000\20000612.csv.gz,20000612,ok,3861
C:\Users\wyao2\Dropbox\2000\20000613.csv.gz,20000613,ok,3860
C:\Users\wyao2\Dropbox\2000\20000614.csv.gz,20000614,ok,3856
C:\Users\wyao2\Dropbox\2000\20000615.csv.gz,20000615,ok,3853
C:\Users\wyao2\Dropbox\2000\20000616.csv.gz,20000616,ok,3848
C:\Users\wyao2\Dropbox\2000\20000619.csv.gz,20000619,ok,3853
C:\Users\wyao2\Dropbox\2000\20000620.csv.gz,20000620,ok,3852
C:\Users\wyao2\Dropbox\2000\20000621.csv.gz,20000621,ok,3853
C:\Users\wyao2\Dropbox\2000\20000622.csv.gz,20000622,ok,3858
C:\Users\wyao2\Dropbox\2000\20000623.csv.gz,20000623,ok,3855
C:\Users\wyao2\Dropbox\2000\20000626.csv.gz,20000626,ok,3857
C:\Users\wyao2\Dropbox\2000\20000627.csv.gz,20000627,ok,3859
C:\Users\wyao2\Dropbox\2000\20000628.csv.gz,20000628,ok,3862
C:\Users\wyao2\Dropbox\2000\20000629.csv.gz,20000629,ok,3862
C:\Users\wyao2\Dropbox\2000\20000630.csv.gz,20000630,ok,3858
C:\Users\wyao2\Dropbox\2000\20000703.csv.gz,20000703,ok,3862
C:\Users\wyao2\Dropbox\2000\20000705.csv.gz,20000705,ok,3861
C:\Users\wyao2\Dropbox\2000\20000706.csv.gz,20000706,ok,3859
C:\Users\wyao2\Dropbox\2000\20000707.csv.gz,20000707,ok,3857
C:\Users\wyao2\Dropbox\2000\20000710.csv.gz,20000710,ok,3858
C:\Users\wyao2\Dropbox\2000\20000711.csv.gz,20000711,ok,3858
C:\Users\wyao2\Dropbox\2000\20000712.csv.gz,20000712,ok,3861
C:\Users\wyao2\Dropbox\2000\20000713.csv.gz,20000713,ok,3860
C:\Users\wyao2\Dropbox\2000\20000714.csv.gz,20000714,ok,3857
C:\Users\wyao2\Dropbox\2000\20000717.csv.gz,20000717,ok,3859
C:\Users\wyao2\Dropbox\2000\20000718.csv.gz,20000718,ok,3859
C:\Users\wyao2\Dropbox\2000\20000719.csv.gz,20000719,ok,3859
C:\Users\wyao2\Dropbox\2000\20000720.csv.gz,20000720,ok,3858
C:\Users\wyao2\Dropbox\2000\20000721.csv.gz,20000721,ok,3858
C:\Users\wyao2\Dropbox\2000\20000724.csv.gz,20000724,ok,3857
C:\Users\wyao2\Dropbox\2000\20000725.csv.gz,20000725,ok,3858
C:\Users\wyao2\Dropbox\2000\20000726.csv.gz,20000726,ok,3858
C:\Users\wyao2\Dropbox\2000\20000727.csv.gz,20000727,ok,3856
C:\Users\wyao2\Dropbox\2000\20000728.csv.gz,20000728,ok,3857
C:\Users\wyao2\Dropbox\2000\20000731.csv.gz,20000731,ok,3866
C:\Users\wyao2\Dropbox\2000\20000801.csv.gz,20000801,ok,3866
C:\Users\wyao2\Dropbox\2000\20000802.csv.gz,20000802,ok,3864
C:\Users\wyao2\Dropbox\2000\20000803.csv.gz,20000803,ok,3865
C:\Users\wyao2\Dropbox\2000\20000804.csv.gz,20000804,ok,3864
C:\Users\wyao2\Dropbox\2000\20000807.csv.gz,20000807,ok,3865
C:\Users\wyao2\Dropbox\2000\20000808.csv.gz,20000808,ok,3867
C:\Users\wyao2\Dropbox\2000\20000809.csv.gz,20000809,ok,3867
C:\Users\wyao2\Dropbox\2000\20000810.csv.gz,20000810,ok,3867
C:\Users\wyao2\Dropbox\2000\20000811.csv.gz,20000811,ok,3866
C:\Users\wyao2\Dropbox\2000\20000814.csv.gz,20000814,ok,3867
C:\Users\wyao2\Dropbox\2000\20000815.csv.gz,20000815,ok,3867
C:\Users\wyao2\Dropbox\2000\20000816.csv.gz,20000816,ok,3869
C:\Users\wyao2\Dropbox\2000\20000817.csv.gz,20000817,ok,3869
C:\Users\wyao2\Dropbox\2000\20000818.csv.gz,20000818,ok,3867
C:\Users\wyao2\Dropbox\2000\20000821.csv.gz,20000821,ok,3868
C:\Users\wyao2\Dropbox\2000\20000822.csv.gz,20000822,ok,3869
C:\Users\wyao2\Dropbox\2000\20000823.csv.gz,20000823,ok,3866
C:\Users\wyao2\Dropbox\2000\20000824.csv.gz,20000824,ok,3866
C:\Users\wyao2\Dropbox\2000\20000825.csv.gz,20000825,ok,3866
C:\Users\wyao2\Dropbox\2000\20000828.csv.gz,20000828,ok,3865
C:\Users\wyao2\Dropbox\2000\20000829.csv.gz,20000829,ok,3864
C:\Users\wyao2\Dropbox\2000\20000830.csv.gz,20000830,ok,3862
C:\Users\wyao2\Dropbox\2000\20000831.csv.gz,20000831,ok,3856
C:\Users\wyao2\Dropbox\2000\20000901.csv.gz,20000901,ok,3850
C:\Users\wyao2\Dropbox\2000\20000905.csv.gz,20000905,ok,3852
C:\Users\wyao2\Dropbox\2000\20000906.csv.gz,20000906,ok,3850
C:\Users\wyao2\Dropbox\2000\20000907.csv.gz,20000907,ok,3848
C:\Users\wyao2\Dropbox\2000\20000908.csv.gz,20000908,ok,3847
C:\Users\wyao2\Dropbox\2000\20000911.csv.gz,20000911,ok,3848
C:\Users\wyao2\Dropbox\2000\20000912.csv.gz,20000912,ok,3847
C:\Users\wyao2\Dropbox\2000\20000913.csv.gz,20000913,ok,3848
C:\Users\wyao2\Dropbox\2000\20000914.csv.gz,20000914,ok,3848
C:\Users\wyao2\Dropbox\2000\20000915.csv.gz,20000915,ok,3847
C:\Users\wyao2\Dropbox\2000\20000918.csv.gz,20000918,ok,3847
C:\Users\wyao2\Dropbox\2000\20000919.csv.gz,20000919,ok,3845
C:\Users\wyao2\Dropbox\2000\20000920.csv.gz,20000920,ok,3844
C:\Users\wyao2\Dropbox\2000\20000921.csv.gz,20000921,ok,3847
C:\Users\wyao2\Dropbox\2000\20000922.csv.gz,20000922,ok,3844
C:\Users\wyao2\Dropbox\2000\20000925.csv.gz,20000925,ok,3843
C:\Users\wyao2\Dropbox\2000\20000926.csv.gz,20000926,ok,3845
C:\Users\wyao2\Dropbox\2000\20000927.csv.gz,20000927,ok,3844
C:\Users\wyao2\Dropbox\2000\20000928.csv.gz,20000928,ok,3844
C:\Users\wyao2\Dropbox\2000\20000929.csv.gz,20000929,ok,3838
C:\Users\wyao2\Dropbox\2000\20001002.csv.gz,20001002,ok,3839
C:\Users\wyao2\Dropbox\2000\20001003.csv.gz,20001003,ok,3841
C:\Users\wyao2\Dropbox\2000\20001004.csv.gz,20001004,ok,3841
C:\Users\wyao2\Dropbox\2000\20001005.csv.gz,20001005,ok,3842
C:\Users\wyao2\Dropbox\2000\20001006.csv.gz,20001006,ok,3843
C:\Users\wyao2\Dropbox\2000\20001009.csv.gz,20001009,ok,3845
C:\Users\wyao2\Dropbox\2000\20001010.csv.gz,20001010,ok,3845
C:\Users\wyao2\Dropbox\2000\20001011.csv.gz,20001011,ok,3844
C:\Users\wyao2\Dropbox\2000\20001012.csv.gz,20001012,ok,3847
C:\Users\wyao2\Dropbox\2000\20001013.csv.gz,20001013,ok,3848
C:\Users\wyao2\Dropbox\2000\20001016.csv.gz,20001016,ok,3847
C:\Users\wyao2\Dropbox\2000\20001017.csv.gz,20001017,ok,3843
C:\Users\wyao2\Dropbox\2000\20001018.csv.gz,20001018,ok,3845
C:\Users\wyao2\Dropbox\2000\20001019.csv.gz,20001019,ok,3847
C:\Users\wyao2\Dropbox\2000\20001020.csv.gz,20001020,ok,3845
C:\Users\wyao2\Dropbox\2000\20001023.csv.gz,20001023,ok,3847
C:\Users\wyao2\Dropbox\2000\20001024.csv.gz,20001024,ok,3846
C:\Users\wyao2\Dropbox\2000\20001025.csv.gz,20001025,ok,3847
C:\Users\wyao2\Dropbox\2000\20001026.csv.gz,20001026,ok,3848
C:\Users\wyao2\Dropbox\2000\20001027.csv.gz,20001027,ok,3845
C:\Users\wyao2\Dropbox\2000\20001030.csv.gz,20001030,ok,3846
C:\Users\wyao2\Dropbox\2000\20001031.csv.gz,20001031,ok,3845
C:\Users\wyao2\Dropbox\2000\20001101.csv.gz,20001101,ok,3843
C:\Users\wyao2\Dropbox\2000\20001102.csv.gz,20001102,ok,3843
C:\Users\wyao2\Dropbox\2000\20001103.csv.gz,20001103,ok,3835
C:\Users\wyao2\Dropbox\2000\20001106.csv.gz,20001106,ok,3835
C:\Users\wyao2\Dropbox\2000\20001107.csv.gz,20001107,ok,3838
C:\Users\wyao2\Dropbox\2000\20001108.csv.gz,20001108,ok,3834
C:\Users\wyao2\Dropbox\2000\20001109.csv.gz,20001109,ok,3830
C:\Users\wyao2\Dropbox\2000\20001110.csv.gz,20001110,ok,3829
C:\Users\wyao2\Dropbox\2000\20001113.csv.gz,20001113,ok,3828
C:\Users\wyao2\Dropbox\2000\20001114.csv.gz,20001114,ok,3826
C:\Users\wyao2\Dropbox\2000\20001115.csv.gz,20001115,ok,3826
C:\Users\wyao2\Dropbox\2000\20001116.csv.gz,20001116,ok,3825
C:\Users\wyao2\Dropbox\2000\20001117.csv.gz,20001117,ok,3823
C:\Users\wyao2\Dropbox\2000\20001120.csv.gz,20001120,ok,3821
C:\Users\wyao2\Dropbox\2000\20001121.csv.gz,20001121,ok,3821
C:\Users\wyao2\Dropbox\2000\20001122.csv.gz,20001122,ok,3822
C:\Users\wyao2\Dropbox\2000\20001124.csv.gz,20001124,ok,3821
C:\Users\wyao2\Dropbox\2000\20001127.csv.gz,20001127,ok,3820
C:\Users\wyao2\Dropbox\2000\20001128.csv.gz,20001128,ok,3817
C:\Users\wyao2\Dropbox\2000\20001129.csv.gz,20001129,ok,3814
C:\Users\wyao2\Dropbox\2000\20001130.csv.gz,20001130,ok,3810
C:\Users\wyao2\Dropbox\2000\20001201.csv.gz,20001201,ok,3807
C:\Users\wyao2\Dropbox\2000\20001204.csv.gz,20001204,ok,3809
C:\Users\wyao2\Dropbox\2000\20001205.csv.gz,20001205,ok,3810
C:\Users\wyao2\Dropbox\2000\20001206.csv.gz,20001206,ok,3810
C:\Users\wyao2\Dropbox\2000\20001207.csv.gz,20001207,ok,3809
C:\Users\wyao2\Dropbox\2000\20001208.csv.gz,20001208,ok,3806
C:\Users\wyao2\Dropbox\2000\20001211.csv.gz,20001211,ok,3807
C:\Users\wyao2\Dropbox\2000\20001212.csv.gz,20001212,ok,3807
C:\Users\wyao2\Dropbox\2000\20001213.csv.gz,20001213,ok,3805
C:\Users\wyao2\Dropbox\2000\20001214.csv.gz,20001214,ok,3803
C:\Users\wyao2\Dropbox\2000\20001215.csv.gz,20001215,ok,3800
C:\Users\wyao2\Dropbox\2000\20001218.csv.gz,20001218,ok,3800
C:\Users\wyao2\Dropbox\2000\20001219.csv.gz,20001219,ok,3800
C:\Users\wyao2\Dropbox\2000\20001220.csv.gz,20001220,ok,3799
C:\Users\wyao2\Dropbox\2000\20001221.csv.gz,20001221,ok,3798
C:\Users\wyao2\Dropbox\2000\20001222.csv.gz,20001222,ok,3798
C:\Users\wyao2\Dropbox\2000\20001226.csv.gz,20001226,ok,3796
C:\Users\wyao2\Dropbox\2000\20001227.csv.gz,20001227,ok,3795
C:\Users\wyao2\Dropbox\2000\20001228.csv.gz,20001228,ok,3794
C:\Users\wyao2\Dropbox\2000\20001229.csv.gz,20001229,ok,3786
C:\Users\wyao2\Dropbox\2001\20010102.csv.gz,20010102,ok,3785
C:\Users\wyao2\Dropbox\2001\20010103.csv.gz,20010103,ok,3785
C:\Users\wyao2\Dropbox\2001\20010104.csv.gz,20010104,ok,3783
C:\Users\wyao2\Dropbox\2001\20010105.csv.gz,20010105,ok,3783
C:\Users\wyao2\Dropbox\2001\20010108.csv.gz,20010108,ok,3783
C:\Users\wyao2\Dropbox\2001\20010109.csv.gz,20010109,ok,3781
C:\Users\wyao2\Dropbox\2001\20010110.csv.gz,20010110,ok,3779
C:\Users\wyao2\Dropbox\2001\20010111.csv.gz,20010111,ok,3778
C:\Users\wyao2\Dropbox\2001\20010112.csv.gz,20010112,ok,3777
C:\Users\wyao2\Dropbox\2001\20010116.csv.gz,20010116,ok,3774
C:\Users\wyao2\Dropbox\2001\20010117.csv.gz,20010117,ok,3775
C:\Users\wyao2\Dropbox\2001\20010118.csv.gz,20010118,ok,3775
C:\Users\wyao2\Dropbox\2001\20010119.csv.gz,20010119,ok,3775
C:\Users\wyao2\Dropbox\2001\20010122.csv.gz,20010122,ok,3774
C:\Users\wyao2\Dropbox\2001\20010123.csv.gz,20010123,ok,3769
C:\Users\wyao2\Dropbox\2001\20010124.csv.gz,20010124,ok,3767
C:\Users\wyao2\Dropbox\2001\20010125.csv.gz,20010125,ok,3767
C:\Users\wyao2\Dropbox\2001\20010126.csv.gz,20010126,ok,3766
C:\Users\wyao2\Dropbox\2001\20010129.csv.gz,20010129,ok,3766
C:\Users\wyao2\Dropbox\2001\20010130.csv.gz,20010130,ok,3767
C:\Users\wyao2\Dropbox\2001\20010131.csv.gz,20010131,ok,3763
C:\Users\wyao2\Dropbox\2001\20010201.csv.gz,20010201,ok,3762
C:\Users\wyao2\Dropbox\2001\20010202.csv.gz,20010202,ok,3762
C:\Users\wyao2\Dropbox\2001\20010205.csv.gz,20010205,ok,3761
C:\Users\wyao2\Dropbox\2001\20010206.csv.gz,20010206,ok,3758
C:\Users\wyao2\Dropbox\2001\20010207.csv.gz,20010207,ok,3760
C:\Users\wyao2\Dropbox\2001\20010208.csv.gz,20010208,ok,3759
C:\Users\wyao2\Dropbox\2001\20010209.csv.gz,20010209,ok,3760
C:\Users\wyao2\Dropbox\2001\20010212.csv.gz,20010212,ok,3761
C:\Users\wyao2\Dropbox\2001\20010213.csv.gz,20010213,ok,3762
C:\Users\wyao2\Dropbox\2001\20010214.csv.gz,20010214,ok,3758
